ts_ms,side,qty,price,fee_quote,reason,kind,trade_id,btc_after,cash_after,exposure_after,datetime_utc,notional
1680940799999,BUY,0.01119386,28096.050879155504,0.31450326009414364,rebound_add,TWAP,21,0.75706477,0.00015837447671174232,0.9999999925516708,2023-04-08T07:59:59.999000+00:00,314.5032600941436
1681948799999,SELL,0.0285244,28787.0217349275,0.821132522775766,daily_deleverage,TWAP,21,0.72854037,820.3115486274669,0.9623713085347001,2023-04-19T23:59:59.999000+00:00,821.132522775766
1682020799999,SELL,0.72854037,28057.205923232454,20.440807184477965,crash,MARKET,21,0.0,21240.677925920954,0.0,2023-04-20T19:59:59.999000+00:00,20440.807184477966
1683316799999,BUY,0.14370422,29572.007320041503,4.249622245760855,breakout_add,TWAP,22,0.14370422,16986.80605791434,0.20005401579229162,2023-05-05T19:59:59.999000+00:00,4249.622245760855
1683878399999,SELL,0.14370422,26297.050637364002,3.7789971501428967,crash,MARKET,22,0.0,20762.024210907093,0.0,2023-05-12T07:59:59.999000+00:00,3778.9971501428968
1687766399999,BUY,0.04097189,30414.932261607253,1.2461572589800236,rebound_add,TWAP,23,0.04097189,19514.620794668088,0.060004850796939256,2023-06-26T07:59:59.999000+00:00,1246.1572589800235
1687795199999,BUY,0.04094917,30430.267627490502,1.2460942022236052,rebound_add,TWAP,23,0.08192105999999999,18267.28049824226,0.1200430146536763,2023-06-26T15:59:59.999000+00:00,1246.0942022236052
1687838399999,BUY,0.04100285,30382.20080878925,1.2457568224326645,rebound_add,TWAP,23,0.12292391,17020.27791898716,0.179890695338424,2023-06-27T03:59:59.999000+00:00,1245.7568224326644
1687967999999,BUY,0.04095587,30421.704631276505,1.2459473800569585,rebound_add,TWAP,23,0.16387978,15773.084591550147,0.240101925089787,2023-06-28T15:59:59.999000+00:00,1245.9473800569585
1688025599999,BUY,0.04102514,30350.909860007254,1.2451503261341779,rebound_add,TWAP,23,0.20490492,14526.689115089835,0.2997013797665226,2023-06-29T07:59:59.999000+00:00,1245.150326134178
1688039999999,BUY,0.04071211,30681.6755957735,1.2491157518394465,rebound_add,TWAP,23,0.24561703000000001,13276.324247498549,0.3620105400096246,2023-06-29T11:59:59.999000+00:00,1249.1157518394464
1688097599999,BUY,0.04064621,30755.811536126253,1.2501071744178103,rebound_add,TWAP,23,0.28626324000000003,12024.966965906322,0.42260234906732874,2023-06-30T03:59:59.999000+00:00,1250.1071744178103
1688140799999,SELL,0.28626324,29651.374274602746,8.48809847030043,kill,MARKET,23,0.0,20504.577337736453,0.0,2023-06-30T15:59:59.999000+00:00,8488.09847030043
1689249599999,BUY,0.04027877,30554.681160099753,1.230704974870991,rebound_add,TWAP,24,0.04027877,19272.641657890592,0.060004847492585806,2023-07-13T11:59:59.999000+00:00,1230.704974870991
1689263999999,BUY,0.03981817,30928.301890937,1.231508382504651,rebound_add,TWAP,24,0.08009694,18039.901767003437,0.12070382405718769,2023-07-13T15:59:59.999000+00:00,1231.5083825046509
