close_time,datetime_utc,realtime_interval,close,bid,ask,mid,cash,btc_qty,btc_value_mid,nav_mid,nav_liq,drawdown_mid,drawdown_liq,exposure,target_exposure,regime,kill_active,crash_cooldown_active,entry_price_avg,note
1635105599999,2021-10-24T19:59:59.999000+00:00,4h,60643.09,60627.9292275,60658.2507725,60643.09,6680.693867807453,0.24893317999999998,15096.077238726197,21776.771106533648,21772.997087223972,0.0703584887008013,0.07033817793109032,0.6932192639980932,0.7421868906214748,RISK_ON,False,False,52835.453211795306,
1635119999999,2021-10-24T23:59:59.999000+00:00,4h,60852.22,60837.006945,60867.43305500001,60852.22,6680.693867807453,0.24893317999999998,15148.136634659599,21828.83050246705,21825.043468308388,0.06813609423855094,0.06811590539427803,0.6939509028185264,0.7746551394657372,RISK_ON,False,False,52835.453211795306,
1635134399999,2021-10-25T03:59:59.999000+00:00,4h,62084.26,62068.738935,62099.78106500001,62084.26,5350.769068814111,0.27032558,16782.9635933708,22133.732662184913,22129.53692128657,0.05511994491265482,0.05511466642062046,0.758252747040909,0.7746551394657372,RISK_ON,False,False,53569.08357523536,
1635148799999,2021-10-25T07:59:59.999000+00:00,4h,62660.65,62644.9848375,62676.31516250001,62660.65,5022.391722464575,0.27555908,17266.711066202002,22289.102788666576,22284.786110900022,0.048487257335302014,0.048485847984987895,0.7746705298062366,0.7746551394657372,RISK_ON,False,False,53742.169862798415,
1635163199999,2021-10-25T11:59:59.999000+00:00,4h,62759.19,62743.50020250001,62774.879797500005,62759.19,5022.391722464575,0.27555908,17293.8646579452,22316.256380409774,22311.93291424529,0.047328081535462085,0.04732673578007607,0.7749447023348657,0.7746551394657372,RISK_ON,False,False,53742.169862798415,
1635177599999,2021-10-25T15:59:59.999000+00:00,4h,63606.87,63590.968282500005,63622.77171750001,63606.87,5022.391722464575,0.27555908,17527.4505788796,22549.842301344175,22545.460438699458,0.0373563934696165,0.03735559478292361,0.7772759713638798,0.7746551394657372,RISK_ON,False,False,53742.169862798415,
1635191999999,2021-10-25T19:59:59.999000+00:00,4h,62688.0,62672.328,62703.672000000006,62688.0,5022.391722464575,0.27555908,17274.24760704,22296.639329504575,22292.320767602814,0.04816552546879482,0.04816413376939688,0.7747466939639387,0.7746551394657372,RISK_ON,False,False,53742.169862798415,
1635206399999,2021-10-25T23:59:59.999000+00:00,4h,63078.78,63063.010305,63094.549695,63078.78,5022.391722464575,0.27555908,17381.9305843224,22404.322306786973,22399.976824140896,0.04356858291692256,0.043567443415882146,0.7758293398170257,0.7822744961199306,RISK_ON,False,False,53742.169862798415,
1635220799999,2021-10-26T03:59:59.999000+00:00,4h,62758.02,62742.330495,62773.709505,62758.02,5022.391722464575,0.27555908,17293.5422538216,22315.933976286175,22311.61059072272,0.0473418448365156,0.04734049832604481,0.774941450902231,0.7822744961199306,RISK_ON,False,False,53742.169862798415,
1635235199999,2021-10-26T07:59:59.999000+00:00,4h,62432.54,62416.931865000006,62448.148135,62432.54,5022.391722464575,0.27555908,17203.853284463203,22226.245006927777,22221.94404360666,0.0511706305005295,0.051169073934473897,0.7740332781853558,0.7822744961199306,RISK_ON,False,False,53742.169862798415,
1635249599999,2021-10-26T11:59:59.999000+00:00,4h,62739.98,62724.29500500001,62755.66499500001,62739.98,5022.391722464575,0.27555908,17288.571168018403,22310.962890482977,22306.640747690974,0.04755405846985328,0.04755270031687686,0.7748913058070237,0.7822744961199306,RISK_ON,False,False,53742.169862798415,
1635263999999,2021-10-26T15:59:59.999000+00:00,4h,62514.59,62498.961352499995,62530.218647500005,62514.59,5022.391722464575,0.27555908,17226.462906977198,22248.854629441772,22244.54801371503,0.05020543490100793,0.050203931287701176,0.7742629089850551,0.7822744961199306,RISK_ON,False,False,53742.169862798415,
1635278399999,2021-10-26T19:59:59.999000+00:00,4h,62000.0,61984.5,62015.50000000001,62000.0,5022.391722464575,0.27555908,17084.66296,22107.054682464575,22102.783516724576,0.05625881702846558,0.05625698131332957,0.7728149771824485,0.7822744961199306,RISK_ON,False,False,53742.169862798415,
