feature,h,folds,mean_test_ic,med_test_ic,mean_test_edge,mean_test_net_trade_edge,weighted_test_mean,weighted_test_base,weighted_test_edge,weighted_test_net_trade_edge,mean_freq,total_count,fold_positive_edge_frac,channel
x_exhaustion,3,4,-0.021865439799071143,-0.015611858428187879,-0.0003370867910739154,-0.0014390225129592726,0.0010481819018916393,0.0013204256894193184,-0.00027224378752767895,-0.0009518180981083606,0.1675536451669943,1469,0.25,volatility_range
hour,3,4,0.007899619917301448,-0.0007181195091698303,0.00010671387475962583,-0.0009952218471257317,0.0010056986908077118,0.000898962428105244,0.00010673626270246785,-0.0009943013091922883,0.3333712984054669,2922,0.75,seasonality
h4_dist_high_48,3,4,-0.0070467528362557225,-0.01563286420558909,0.0004083116122257048,-0.0006936241096596528,0.0009914312406015676,0.0007465021546249408,0.00024492908597662676,-0.0010085687593984326,0.17963563932141335,1575,0.75,price_trend_pullback
d1_ret_2,3,4,0.0032460705648054153,0.008569684216953486,0.00012666125671257017,-0.0009752744651727872,0.0009864379206703806,0.0008260827879853075,0.00016035513268507302,-0.0010135620793296192,0.2177848160514245,1909,0.75,price_trend_pullback
d1_body_pct_1,1,4,0.037546599200799925,0.03328235012285297,0.0007955608339302361,-0.0009020051240878162,0.0009839777500223802,0.0002592824288344799,0.0007246953211879002,-0.0010160222499776199,0.1972808167171134,1729,1.0,bar_shape
h4_trendvol_6,3,4,0.04807113479613766,0.05240728688042656,0.0002949699668044376,-0.0008069657550809199,0.000976930151148997,0.0006664540557900699,0.000310476095358927,-0.001023069848851003,0.20459143341550431,1793,0.5,price_trend_pullback
d1_trendvol_10,1,4,-0.001388703589571578,0.0028177880292652264,0.00039221534829323335,-0.001305350609724819,0.0009444854064520632,0.0004986862726561161,0.000445799133795947,-0.001055514593547937,0.1984473325636305,1740,0.75,price_trend_pullback
body_pct,1,4,0.07156908825441873,0.07384228096071267,0.00048814106198035817,-0.001209424896037694,0.0009304255582369803,0.00029533989440521546,0.0006350856638317649,-0.0010695744417630196,0.20365062772386391,1785,0.5,bar_shape
h4_draw_24,3,4,-0.00598355041084888,-0.011581434614657046,0.0004902384196761014,-0.0006116973022092562,0.0009253941808460894,0.0007158086896449734,0.00020958549120111584,-0.0010746058191539111,0.16641937362831674,1459,0.5,price_trend_pullback
d1_trendvol_20,1,4,0.003966635616320054,0.004949246081346549,0.00017862240921467218,-0.00151894354880338,0.0009047337720749656,0.000528442584530567,0.0003762911875443984,-0.0010952662279250344,0.1963909778346387,1722,0.75,price_trend_pullback
