signal,rule_type,fold,direction,threshold,sharpe,cagr,mdd,trades,oos_sharpe,oos_cagr,oos_mdd,oos_trades
osc_12_28_net_quote_norm_28,fixed_natural,2,ge,0.0,1.5629920023639556,0.5799644077233965,-0.27455986763152285,43,,,,
osc_12_28_net_quote_norm_28,fixed_natural,3,ge,0.0,1.441739653338774,0.4495926539553414,-0.1767616819364234,27,,,,
osc_12_28_net_quote_norm_28,fixed_natural,4,ge,0.0,0.2878351257600204,0.03383044105761779,-0.13402748413231258,11,,,,
osc_12_28_net_quote_norm_28,train_threshold,1,ge,-0.002679512868,1.9815015892930454,1.222067786605852,-0.3583391437469433,76,0.7891234685568037,0.22929866633720386,-0.31195245963705576,31.0
osc_12_28_net_quote_norm_28,train_threshold,2,ge,-0.001972743908,1.5681471863372778,0.759324103249085,-0.3573189076922185,107,1.478724035551116,0.5477181082981566,-0.29085135828050346,46.0
osc_12_28_net_quote_norm_28,train_threshold,3,ge,-0.002823659119,1.5843623859123546,0.7353112975805915,-0.3583391437469434,154,1.2098406826783483,0.36633006706353854,-0.18049511656667572,29.0
osc_12_28_net_quote_norm_28,train_threshold,4,ge,-0.003030600041,1.5262483538869671,0.6721302762250958,-0.3606727901745218,184,0.2878351257600204,0.03383044105761779,-0.13402748413231258,11.0
pos_count4_net_quote_norm_28,train_threshold,1,ge,4.0,1.8063169924692066,0.7968946946128956,-0.3878034574717957,45,-0.28568622267988203,-0.1026047320809077,-0.3765349723051905,19.0
pos_count4_net_quote_norm_28,train_threshold,2,ge,2.0,1.3082743405740287,0.6023368638178797,-0.4618430051680942,117,1.5089289390673828,0.5903000743628308,-0.2800176014460827,47.0
pos_count4_net_quote_norm_28,train_threshold,3,ge,2.0,1.3462376310804998,0.599200581333984,-0.4618430051680942,164,1.1349477926999425,0.3440908182407514,-0.17765579652385788,30.0
pos_count4_net_quote_norm_28,train_threshold,4,ge,3.0,1.3689814528080577,0.5462633642269523,-0.3526010157403583,156,-0.3454326386172038,-0.06554653491880014,-0.15387075655337334,12.0
vol_surprise_quote_28,fixed_natural,1,ge,1.0,0.17590190278025722,-0.00011734265845664282,-0.4117083508736533,40,,,,
vol_surprise_quote_28,fixed_natural,2,ge,1.0,1.559332115444346,0.6207623926439267,-0.2719130512930503,53,,,,
vol_surprise_quote_28,fixed_natural,3,ge,1.0,1.1863221391400882,0.3853692909683588,-0.21396884006576722,33,,,,
vol_surprise_quote_28,fixed_natural,4,ge,1.0,-0.3147637018118959,-0.06823850953909683,-0.1763351609036461,16,,,,
vol_surprise_quote_28,train_threshold,1,le,0.471162382111,2.1743126548164398,1.0638048785053815,-0.3171733929451208,48,0.012672623169442008,-0.02098283330113493,-0.2358304351882543,14.0
vol_surprise_quote_28,train_threshold,2,le,0.478455938933,1.568407741674351,0.5745161483212142,-0.32124542954533863,63,1.0524585033586136,0.29739140343994186,-0.23593761103886857,34.0
vol_surprise_quote_28,train_threshold,3,le,0.741944914866,1.4952907095547454,0.6842966774684485,-0.34825700112133484,148,1.4147806590316028,0.45088443595006655,-0.20806128231679832,28.0
vol_surprise_quote_28,train_threshold,4,le,0.692312175125,1.4684172768171717,0.6315815427490963,-0.3886499203899553,172,-0.1557415234441338,-0.03815661597457476,-0.14900789718635743,13.0
ema12_vol_surprise_quote_28,fixed_natural,1,ge,1.0,-0.29793970939314895,-0.1428824116276115,-0.5244381663069463,38,,,,
ema12_vol_surprise_quote_28,fixed_natural,2,ge,1.0,1.4234546201003364,0.5402765766050097,-0.2679784392142657,52,,,,
