fold,direction,threshold,sharpe,cagr,mdd,end_equity,bar_count,oos_trades,oos_cont_decisions,signal,measurement,operator,role,rule_type
3,ge,0.004599891867205399,1.7728409913251022,0.6339986535843165,-0.13236946834247343,16330.836205416032,2190,28,1,net_quote_norm_28,net_quote_norm_28,level,one_shot,train_threshold
4,ge,-0.0011585085133876437,0.06036072333350236,-0.0036698487524410295,-0.1158206572979793,9975.586295456083,1458,11,3,net_quote_norm_28,net_quote_norm_28,level,one_shot,train_threshold
1,ge,0.0,0.6998322696492941,0.19172928319137839,-0.3355900874677066,13015.662816808353,3294,30,2,net_quote_norm_28,net_quote_norm_28,level,stateful,fixed_natural
2,ge,0.0,1.4913294210397627,0.5609871763579086,-0.30985404587453336,19478.138160515307,3282,47,6,net_quote_norm_28,net_quote_norm_28,level,stateful,fixed_natural
3,ge,0.0,1.785853331028879,0.6373022557756072,-0.13236946834247365,16363.816023838588,2190,28,2,net_quote_norm_28,net_quote_norm_28,level,stateful,fixed_natural
4,ge,0.0,0.011867532116071786,-0.01129896952812226,-0.12003764101544434,9924.736810933086,1458,12,3,net_quote_norm_28,net_quote_norm_28,level,stateful,fixed_natural
1,ge,-0.1977653727496622,-0.2511833527955087,-0.13819362436973703,-0.5585078078781274,7997.331227608981,3294,27,22,net_quote_norm_28,net_quote_norm_28,level,stateful,train_threshold
2,ge,-0.024630045706294904,1.4142493479785063,0.522276776041602,-0.30655287720327995,18759.444501712966,3282,46,11,net_quote_norm_28,net_quote_norm_28,level,stateful,train_threshold
3,le,-0.08642208317029129,1.56567953862626,0.5341408326062447,-0.1657106548470031,15333.92022680005,2190,28,13,net_quote_norm_28,net_quote_norm_28,level,stateful,train_threshold
4,never,,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,9889.008977112977,1458,12,0,net_quote_norm_28,net_quote_norm_28,level,stateful,train_threshold
1,ge,0.0,0.47275818007565423,0.10674986200705194,-0.39993310612237765,11646.348741714692,3294,29,3,ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,fixed_natural
2,ge,0.0,1.6634914858058578,0.6699415944556049,-0.2780636982622211,21548.487648936825,3282,47,7,ema12_net_quote_norm_28,net_quote_norm_28,ema12,one_shot,fixed_natural
