policy,family,template,support_signal,weak_q,neg_q,fold,oos_sharpe,oos_cagr,oos_mdd,oos_trades,delta_sharpe_vs_vdo,delta_sharpe_vs_core,weak_thr,neg_thr
weakvdo_q0.5_ema12_net_quote_norm_28,bounded_veto,weak_vdo_require_support,ema12_net_quote_norm_28,0.5,,4,0.2025676289490603,0.019823080405488414,-0.1388358199893892,11,0.22472493425339496,0.6713029275622238,0.006063720771229266,
weakvdo_q0.5_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.5,,1,0.7232694429676838,0.20054846659322445,-0.32818818970965347,30,0.11658998337055082,0.7579899504151689,0.00648105072393846,
weakvdo_q0.5_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.5,,2,1.5786600081901037,0.603522530995279,-0.30918733110768204,46,0.04115441067378911,0.03347252199437456,0.005799748872026572,
weakvdo_q0.5_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.5,,3,1.7667782788683761,0.627296279602666,-0.13236946834247332,28,-0.05179505438933285,0.5725035905207623,0.005663060405662071,
weakvdo_q0.5_late_and_low_activity,bounded_veto,weak_vdo_require_support,late_and_low_activity,0.5,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.006063720771229266,
weakvdo_q0.5_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.5,,1,0.7169507260421102,0.19806701885795697,-0.3281881897096537,30,0.1102712664449772,0.7516712334895953,0.00648105072393846,
weakvdo_q0.5_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.5,,2,1.5786600081901037,0.603522530995279,-0.30918733110768204,46,0.04115441067378911,0.03347252199437456,0.005799748872026572,
weakvdo_q0.5_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.5,,3,1.7564096152274062,0.6202282507384296,-0.13236946834247332,28,-0.06216371803030274,0.5621349268797924,0.005663060405662071,
weakvdo_q0.5_late_net_and_low_activity,bounded_veto,weak_vdo_require_support,late_net_and_low_activity,0.5,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.006063720771229266,
weakvdo_q0.5_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.5,,1,0.5460616579574737,0.13362176836232553,-0.3719964251130443,31,-0.06061780163965924,0.5807821654049589,0.00648105072393846,
weakvdo_q0.5_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.5,,2,1.4914486369961124,0.5555035375519897,-0.3141228508165954,45,-0.04605696052020214,-0.05373884919961669,0.005799748872026572,
weakvdo_q0.5_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.5,,3,1.8899207496322856,0.6816483439208703,-0.1323694683424732,27,0.07134741637457664,0.6956460612846718,0.005663060405662071,
weakvdo_q0.5_low_activity_and_no_altmom,bounded_veto,weak_vdo_require_support,low_activity_and_no_altmom,0.5,,4,0.3539490211492046,0.044965465404561034,-0.12477834959494816,11,0.37610632645353925,0.8226843197623681,0.006063720771229266,
weakvdo_q0.5_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.5,,1,0.7232694429676838,0.20054846659322445,-0.32818818970965347,30,0.11658998337055082,0.7579899504151689,0.00648105072393846,
weakvdo_q0.5_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.5,,2,1.5786600081901037,0.603522530995279,-0.30918733110768204,46,0.04115441067378911,0.03347252199437456,0.005799748872026572,
weakvdo_q0.5_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.5,,3,1.7667782788683761,0.627296279602666,-0.13236946834247332,28,-0.05179505438933285,0.5725035905207623,0.005663060405662071,
weakvdo_q0.5_activity_or_fresh_imb,bounded_veto,weak_vdo_require_support,activity_or_fresh_imb,0.5,,4,-0.022157305304334646,-0.01664756943298129,-0.12477834959494816,12,0.0,0.44657799330882886,0.006063720771229266,
weakvdo_q0.5_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.5,,1,0.5460616579574737,0.13362176836232553,-0.3719964251130443,31,-0.06061780163965924,0.5807821654049589,0.00648105072393846,
weakvdo_q0.5_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.5,,2,1.4914486369961124,0.5555035375519897,-0.3141228508165954,45,-0.04605696052020214,-0.05373884919961669,0.005799748872026572,
weakvdo_q0.5_activity_or_altmom,bounded_veto,weak_vdo_require_support,activity_or_altmom,0.5,,3,1.8899207496322856,0.6816483439208703,-0.1323694683424732,27,0.07134741637457664,0.6956460612846718,0.005663060405662071,
