episode_id,entry_time,exit_time,hold_bars,hold_days,exit_reason,realized_return_pct,mfe_pct,mae_pct,giveback_ratio,win_flag,unit_size_positive_contribution_rank_desc
105,2023-06-20T12:00:00Z,2023-06-29T00:00:00Z,51,8.5,vtrend_ema21_d1_trail_stop,11.555361,16.695939080718887,1.0503275210082537,0.30789391694986623,1,22
106,2023-06-29T08:00:00Z,2023-07-05T16:00:00Z,38,6.333333,vtrend_ema21_d1_trail_stop,-0.147762,3.3234801624988908,2.8667092162614,1.0444600216566058,0,77
107,2023-07-06T00:00:00Z,2023-07-10T08:00:00Z,26,4.333333,vtrend_ema21_d1_trail_stop,-1.484534,3.1592523454208834,2.7322216794795997,1.4699004187341125,0,100
108,2023-07-10T20:00:00Z,2023-07-14T20:00:00Z,24,4.0,vtrend_ema21_d1_trail_stop,-2.537147,3.03209621309866,3.1367028011504816,1.8367633550147655,0,118
109,2023-07-15T00:00:00Z,2023-07-20T00:00:00Z,30,5.0,vtrend_ema21_d1_trend_exit,-1.525959,0.3267397594476697,2.7365066005106287,5.670258075048856,0,101
110,2023-09-17T12:00:00Z,2023-09-22T00:00:00Z,27,4.5,vtrend_ema21_d1_trail_stop,-0.194541,3.3479043245282827,0.8118725429558105,1.0581082913793873,0,78
111,2023-09-24T20:00:00Z,2023-09-26T00:00:00Z,7,1.166667,vtrend_ema21_d1_trend_exit,-0.744587,0.1738738527816855,1.8325368871655376,5.282340260412226,0,86
112,2023-09-29T00:00:00Z,2023-10-03T16:00:00Z,28,4.666667,vtrend_ema21_d1_trail_stop,0.995414,5.662371258790669,1.416933674070868,0.8242054513019349,1,61
113,2023-10-04T04:00:00Z,2023-10-11T00:00:00Z,41,6.833333,vtrend_ema21_d1_trail_stop,-0.34646,3.048789999672893,1.627428974410166,1.113638525459993,0,83
114,2023-10-16T16:00:00Z,2023-11-14T20:00:00Z,175,29.166667,vtrend_ema21_d1_trail_stop,25.510553,35.169897193643955,0.0999250498265274,0.27464806452120166,1,11
115,2023-11-15T12:00:00Z,2023-11-16T20:00:00Z,8,1.333333,vtrend_ema21_d1_trail_stop,-1.08085,4.693857269939835,2.142392493868769,1.2302690384136572,0,93
116,2023-11-17T04:00:00Z,2023-11-22T00:00:00Z,29,4.833333,vtrend_ema21_d1_trail_stop,-2.230462,3.366621789378331,2.4328344035669724,1.6625222966942983,0,112
117,2023-11-23T00:00:00Z,2023-11-27T12:00:00Z,27,4.5,vtrend_ema21_d1_trail_stop,-1.193311,2.585692208810794,1.9515361731012573,1.461505432059458,0,96
118,2023-11-27T20:00:00Z,2023-12-11T08:00:00Z,81,13.5,vtrend_ema21_d1_trail_stop,14.02321,21.092641763067466,0.3288091052779054,0.33516104063578284,1,19
119,2023-12-12T00:00:00Z,2023-12-18T00:00:00Z,36,6.0,vtrend_ema21_d1_trail_stop,0.093479,5.280405632035552,1.7912085417156882,0.9822970039587726,1,74
120,2023-12-18T16:00:00Z,2023-12-26T16:00:00Z,48,8.0,vtrend_ema21_d1_trail_stop,2.522326,7.483033874255159,0.3883007417809081,0.6629273577555379,1,50
121,2023-12-26T20:00:00Z,2024-01-03T20:00:00Z,48,8.0,vtrend_ema21_d1_trail_stop,0.955712,8.845294419898114,3.3242912462273915,0.8919524942154488,1,64
122,2024-01-06T00:00:00Z,2024-01-12T20:00:00Z,41,6.833333,vtrend_ema21_d1_trail_stop,-1.720277,10.817565391034243,6.085811739721949,1.1590262631022124,0,104
123,2024-01-30T12:00:00Z,2024-03-05T20:00:00Z,212,35.333333,vtrend_ema21_d1_trail_stop,40.770437,58.32479105193431,3.8939147918737538,0.30097585838418756,1,4
124,2024-03-06T08:00:00Z,2024-03-16T20:00:00Z,63,10.5,vtrend_ema21_d1_trail_stop,0.152019,10.538679312026368,3.113777266386003,0.9855751375007189,1,73
125,2024-03-17T12:00:00Z,2024-03-19T12:00:00Z,12,2.0,vtrend_ema21_d1_trail_stop,-5.974397,2.884910083418838,6.880800966760911,3.0709127242260124,0,165
126,2024-03-21T00:00:00Z,2024-03-23T12:00:00Z,15,2.5,vtrend_ema21_d1_trend_exit,-4.923356,0.4890450799700306,8.317631067328024,11.067284595321377,0,152
127,2024-03-25T04:00:00Z,2024-04-01T16:00:00Z,45,7.5,vtrend_ema21_d1_trail_stop,1.114791,6.455566817853587,1.049235338292354,0.8273132272572995,1,59
128,2024-04-01T20:00:00Z,2024-04-02T12:00:00Z,4,0.666667,vtrend_ema21_d1_trail_stop,-5.967772,0.2615184411935595,7.35695129097989,23.819698575608406,0,164
129,2024-04-02T16:00:00Z,2024-04-04T08:00:00Z,10,1.666667,vtrend_ema21_d1_trend_exit,1.648249,3.0001337876666314,0.7109952273539012,0.45060816728378844,1,56
130,2024-04-05T00:00:00Z,2024-04-05T12:00:00Z,3,0.5,vtrend_ema21_d1_trend_exit,-3.128474,0.2922635317465958,3.7979656648099858,11.704291367807437,0,126
131,2024-04-05T16:00:00Z,2024-04-10T12:00:00Z,29,4.833333,vtrend_ema21_d1_trail_stop,1.047698,6.64992717729898,1.3812538249056383,0.842449703272458,1,60
132,2024-05-16T08:00:00Z,2024-05-23T16:00:00Z,44,7.333333,vtrend_ema21_d1_trail_stop,2.717392,8.715189915229066,2.4256740215915413,0.688200483703564,1,47
