branch_id,slow_period,e0_trade_id,entry_bar,exit_bar,entry_price_exec,exit_price_exec,bars_held,ATR_entry,MFE_R_final,MAE_R_final,realized_R,giveback_R,giveback_ratio,exit_reason,partial_exit_done,net_pnl_per_unit,gross_pnl_per_unit,cost_per_unit,time_from_peak_to_exit,entry_ER30_context_bin
E0,120,41,3730,3743,10356.32,10121.39,13,135.3554,0.4704,2.0562,-2.1139,2.5843,5.4939,ema_cross_down,False,-286.1243,-234.93,51.1943,48.0,<0.10
E1,120,41,3730,3743,10356.32,10121.39,13,135.3554,0.4704,2.0562,-2.1139,2.5843,5.4939,ema_cross_down,False,-286.1243,-234.93,51.1943,48.0,<0.10
E2,120,41,3730,3743,10356.32,10121.39,13,135.3554,0.4704,2.0562,-2.1139,2.5843,5.4939,ema_cross_down,False,-286.1243,-234.93,51.1943,48.0,<0.10
E3,120,41,3730,3743,10356.32,10121.39,13,135.3554,0.4704,2.0562,-2.1139,2.5843,5.4939,ema_cross_down,False,-286.1243,-234.93,51.1943,48.0,<0.10
E4,120,41,3730,3743,10356.32,10121.39,13,135.3554,0.4704,2.0562,-2.1139,2.5843,5.4939,ema_cross_down,False,-286.1243,-234.93,51.1943,48.0,<0.10
E5,120,41,3730,3743,10356.32,10121.39,13,135.3554,0.4704,2.0562,-2.1139,2.5843,5.4939,ema_cross_down,False,-286.1243,-234.93,51.1943,48.0,<0.10
E0,120,42,3984,4015,9230.0,9063.13,31,343.6083,1.956,0.9226,-0.6187,2.5747,1.3163,trail_stop,False,-212.6028,-166.87,45.7328,104.0,>=0.25
E1,120,42,3984,4004,9230.0,9161.3,20,343.6083,1.956,0.4598,-0.3337,2.2898,1.1706,trail_stop,False,-114.6783,-68.7,45.9782,60.0,>=0.25
E2,120,42,3984,3996,9230.0,9205.14,12,343.6083,1.956,0.453,-0.2065,2.1625,1.1056,trail_stop,False,-70.9479,-24.86,46.0879,28.0,>=0.25
E3,120,42,3984,4015,9230.0,9063.13,31,343.6083,1.956,0.9226,-0.4129,2.3689,1.2111,trail_stop,True,-141.8801,-95.97,45.9101,104.0,>=0.25
E4,120,42,3984,4004,9230.0,9161.3,20,343.6083,1.956,0.4598,-0.2229,2.1789,1.114,trail_stop,True,-76.597,-30.5233,46.0737,60.0,>=0.25
E5,120,42,3984,4006,9230.0,9093.72,22,343.6083,1.956,0.6664,-0.5299,2.4859,1.2709,trail_stop,False,-182.0893,-136.28,45.8093,68.0,>=0.25
E0,120,43,4016,4059,9099.0,9026.27,43,206.5033,2.0081,0.6973,-0.5716,2.5797,1.2847,trail_stop,False,-118.0432,-72.73,45.3132,80.0,<0.10
E1,120,43,4016,4053,9099.0,9197.11,37,206.5033,2.0081,0.1889,0.2536,1.7545,0.8737,trail_stop,False,52.3697,98.11,45.7403,56.0,<0.10
E2,120,43,4016,4053,9099.0,9197.11,37,206.5033,2.0081,0.1889,0.2536,1.7545,0.8737,trail_stop,False,52.3697,98.11,45.7403,56.0,<0.10
E3,120,43,4016,4059,9099.0,9026.27,43,206.5033,2.0081,0.6973,-0.0917,2.0998,1.0456,trail_stop,True,-18.9282,26.6333,45.5616,80.0,<0.10
E4,120,43,4016,4053,9099.0,9197.11,37,206.5033,2.0081,0.1889,0.4585,1.5496,0.7717,trail_stop,True,94.6804,140.5267,45.8463,56.0,<0.10
E5,120,43,4016,4060,9099.0,8821.14,44,206.5033,2.0081,1.9515,-1.5625,3.5706,1.7781,trail_stop,False,-322.6604,-277.86,44.8003,84.0,<0.10
E0,120,44,4064,4081,8823.73,8740.65,17,133.5376,2.4222,1.5355,-0.951,3.3732,1.3926,ema_cross_down,False,-126.9909,-83.08,43.911,32.0,0.20-0.25
E1,120,44,4064,4076,8823.73,8814.44,12,133.5376,2.4222,0.7402,-0.3998,2.822,1.165,trail_stop,False,-53.3854,-9.29,44.0954,12.0,0.20-0.25
E2,120,44,4064,4076,8823.73,8814.44,12,133.5376,2.4222,0.7402,-0.3998,2.822,1.165,trail_stop,False,-53.3854,-9.29,44.0954,12.0,0.20-0.25
E3,120,44,4064,4081,8823.73,8740.65,17,133.5376,2.4222,1.5355,-0.185,2.6072,1.0764,ema_cross_down,True,-24.7006,19.4667,44.1673,32.0,0.20-0.25
E4,120,44,4064,4076,8823.73,8814.44,12,133.5376,2.4222,0.7402,0.1825,2.2397,0.9247,trail_stop,True,24.3697,68.66,44.2903,12.0,0.20-0.25
E5,120,44,4064,4081,8823.73,8740.65,17,133.5376,2.4222,1.5355,-0.951,3.3732,1.3926,ema_cross_down,False,-126.9909,-83.08,43.911,32.0,0.20-0.25
E0,120,45,4341,4343,7217.03,7239.02,2,115.2589,0.3381,0.765,-0.1228,0.4609,1.3631,ema_cross_down,False,-14.1501,21.99,36.1401,0.0,<0.10
E1,120,45,4341,4343,7217.03,7239.02,2,115.2589,0.3381,0.765,-0.1228,0.4609,1.3631,ema_cross_down,False,-14.1501,21.99,36.1401,0.0,<0.10
E2,120,45,4341,4343,7217.03,7239.02,2,115.2589,0.3381,0.765,-0.1228,0.4609,1.3631,ema_cross_down,False,-14.1501,21.99,36.1401,0.0,<0.10
E3,120,45,4341,4343,7217.03,7239.02,2,115.2589,0.3381,0.765,-0.1228,0.4609,1.3631,ema_cross_down,False,-14.1501,21.99,36.1401,0.0,<0.10
E4,120,45,4341,4343,7217.03,7239.02,2,115.2589,0.3381,0.765,-0.1228,0.4609,1.3631,ema_cross_down,False,-14.1501,21.99,36.1401,0.0,<0.10
E5,120,45,4341,4343,7217.03,7239.02,2,115.2589,0.3381,0.765,-0.1228,0.4609,1.3631,ema_cross_down,False,-14.1501,21.99,36.1401,0.0,<0.10
E0,120,46,4363,4378,7307.27,7195.96,15,91.934,2.4059,1.2878,-1.6052,4.011,1.6672,trail_stop,False,-147.5681,-111.31,36.2581,44.0,<0.10
E1,120,46,4363,4371,7307.27,7315.11,8,91.934,2.4059,0.157,-0.3124,2.7182,1.1298,trail_stop,False,-28.716,7.84,36.556,16.0,<0.10
E2,120,46,4363,4371,7307.27,7315.11,8,91.934,2.4059,0.157,-0.3124,2.7182,1.1298,trail_stop,False,-28.716,7.84,36.556,16.0,<0.10
E3,120,46,4363,4378,7307.27,7195.96,15,91.934,2.4059,1.2878,-0.8884,3.2943,1.3693,trail_stop,True,-81.6766,-45.2533,36.4232,44.0,<0.10
