branch_id,slow_period,fold,cagr,mdd,sharpe,sortino,mar,ulcer_index,n_days,trade_count,win_rate,profit_factor,avg_holding_bars,total_cost,skew,tail_ratio,exposure,mean_MFE_R,median_MFE_R,mean_realized_R,median_realized_R,mean_giveback_R,median_giveback_R,mean_giveback_ratio,median_giveback_ratio,pct_MFE1_loss,pct_MFE1_retained_low,pct_MFE2_retained_low,mean_time_peak_to_exit,exit_reason_mix,top5_pnl_pct,top10_pnl_pct,top10_mean_size,n_partials,partial_frac_of_trades
E2,120,7,3.9685540931937213,25.959279858708374,0.28330259038637773,0.25942972282935334,0.15287612425282354,9.48234435284841,181,22,31.82,1.0619,19.4,9547.38,2.3893,1.4762,0.391,4.9502,1.7305,1.3963,-0.4135,3.5538,2.9263,2.8123,1.2458,58.82,76.47,60.0,24.91,"{'trail_stop': 19, 'ema_cross_down': 3}",1245.34,1413.63,8989.9019,0,0.0
E2,120,8,3.6025442359956195,31.405381658436827,0.2803220054881609,0.27033695277712677,0.11471104778081313,20.810377953714212,180,23,30.43,1.0566,20.7,10031.32,1.9036,2.1885,0.4374,5.2551,1.7432,1.542,-1.3541,3.7131,3.2484,3.7209,1.9188,61.11,72.22,50.0,24.7,"{'trail_stop': 22, 'ema_cross_down': 1}",1071.19,1410.59,10909.8328,0,0.0
E2,120,9,-26.09040185206527,18.888527571312398,-1.263785765998145,-0.9250328459634387,-1.381282990617594,14.443176384544683,182,19,26.32,0.5767,18.7,7480.76,2.5947,2.2888,0.3233,2.9844,1.644,-0.3486,-1.7798,3.333,3.2231,4.4591,1.9188,58.33,83.33,75.0,28.42,"{'trail_stop': 16, 'ema_cross_down': 3}",77.59,129.98,7513.9659,0,0.0
E2,120,10,57.05120353565461,11.984635864925542,1.6302347126333068,1.615358721694176,4.760361864862471,7.009527729881607,183,25,48.0,1.9605,25.9,10771.38,2.6124,4.9569,0.587,4.0877,3.0896,0.8546,-0.0333,3.2331,3.1316,2.4223,1.0095,40.0,75.0,70.59,35.36,"{'trail_stop': 22, 'ema_cross_down': 3}",140.14,157.8,10976.1803,0,0.0
E2,120,11,218.32183868059167,14.95864519579959,2.800217426517246,3.051283475953809,14.595027545803196,6.263937631047976,182,30,53.33,2.3744,28.5,15562.4,1.9898,3.5952,0.7778,5.0841,3.2505,1.9245,0.4347,3.1596,3.1736,2.4007,0.8755,36.0,64.0,55.0,36.13,"{'trail_stop': 27, 'ema_cross_down': 3}",76.79,100.12,20282.5529,0,0.0
E2,120,12,20.78361565055349,24.680118450929555,0.6694736236467013,0.5843380270075784,0.8421197690714768,16.26078794338558,181,28,39.29,1.2263,20.6,16804.15,2.8036,2.1476,0.5275,3.436,1.8059,0.4712,-0.375,2.9648,2.9651,4.0871,1.1975,45.0,60.0,46.15,24.86,"{'trail_stop': 23, 'ema_cross_down': 5}",323.79,380.47,17573.6393,0,0.0
E2,120,13,-18.33490849267677,16.059553687208282,-0.7530231987602899,-0.5170608263774652,-1.1416823188106933,9.336060763757915,182,23,34.78,0.5645,15.5,13689.85,0.199,0.8684,0.3251,2.234,1.674,-0.585,-0.4719,2.819,2.8909,3.3569,1.2819,55.56,66.67,50.0,21.22,"{'trail_stop': 19, 'ema_cross_down': 4}",50.44,72.78,4335.0196,0,0.0
E2,120,14,135.53926393981314,13.828446402712514,2.6931876623012823,3.1513266233231003,9.80148166993123,5.248076089701974,183,23,52.17,3.3549,24.9,14598.39,2.5962,2.9396,0.519,4.2945,2.8487,1.3161,0.2734,2.9784,2.9188,3.8714,0.8677,40.0,60.0,38.46,31.48,"{'trail_stop': 19, 'ema_cross_down': 4}",70.1,88.66,18374.5404,0,0.0
E2,120,15,90.69804481590829,15.806806992100352,2.0442189025533524,2.105800693701964,5.737910563546184,7.345413224899487,181,23,43.48,1.8381,21.7,17219.47,2.5259,2.0953,0.4579,4.0559,2.0665,0.8779,-0.3706,3.1781,3.2157,7.4967,1.2296,44.44,61.11,41.67,29.39,"{'trail_stop': 20, 'ema_cross_down': 3}",113.03,142.95,18374.5404,0,0.0
E2,120,16,-8.009366913331606,17.281689629612263,-0.1987588691813613,-0.16096288199718356,-0.46345971285165977,9.975070519733823,180,21,42.86,0.8892,19.8,18131.5,1.0226,1.6688,0.3821,3.3181,2.2679,0.2772,-0.3488,3.0408,2.8148,19.4487,1.1547,47.06,70.59,54.55,35.43,"{'trail_stop': 19, 'ema_cross_down': 2}",465.97,554.72,10395.4647,0,0.0
E2,120,17,16.976385167982567,12.176307667519826,0.7701249465397721,0.8043818102577898,1.3942145378986193,7.600791425697972,182,25,44.0,1.2716,23.2,21489.7,1.4945,2.8621,0.5273,3.8098,1.9755,0.6757,-0.5008,3.1341,2.9437,13.7116,1.2049,45.0,75.0,58.33,36.48,"{'trail_stop': 23, 'ema_cross_down': 2}",234.21,336.52,14079.7109,0,0.0
E2,120,18,-10.941348707515687,11.775936929038211,-0.7134301909061534,-0.44963580896953276,-0.9291276586693905,8.474720337641873,183,18,33.33,0.6946,18.2,15317.74,2.0808,1.4023,0.2962,3.264,1.6866,-0.1346,-1.2071,3.3986,3.4064,2.3994,1.9001,53.85,84.62,71.43,26.89,"{'trail_stop': 17, 'ema_cross_down': 1}",129.18,183.78,11410.9199,0,0.0
E2,120,19,-9.24550289544328,9.165951853608323,-0.6574241915652668,-0.31481096679455944,-1.0086789722557445,7.871673654770858,141,9,55.56,0.7813,15.2,7479.32,0.0345,0.9387,0.1599,3.0511,1.3137,-0.4695,0.3892,3.5206,3.5471,5.1398,0.8723,16.67,50.0,50.0,20.0,"{'trail_stop': 7, 'ema_cross_down': 2}",137.26,137.26,6779.774,0,0.0
E3,120,0,69.52562933557512,19.769324871687864,1.355411038012906,1.2760472167856654,3.516843887529234,12.888511677806175,180,13,46.15,2.5141,52.8,2499.13,2.2629,6.9739,0.6317,9.1985,2.0723,2.89,-0.9018,6.3085,3.1332,1.737,1.3977,45.45,72.73,62.5,59.08,"{'trail_stop': 12, 'ema_cross_down': 1}",71.25,128.44,11583.8845,11,84.62
E3,120,1,23.702987366395778,14.278104966069582,0.8855399145654391,0.609297856163708,1.6600933683232781,7.581213336989413,182,9,55.56,1.9587,46.2,2014.22,0.623,2.0866,0.3789,5.5615,4.7226,0.834,0.1669,4.7275,4.2056,2.8593,0.9494,37.5,75.0,71.43,57.78,{'trail_stop': 9},91.77,91.77,5600.7445,8,88.89
E3,120,2,70.22224661968298,14.578937339350285,1.784662999935982,1.4892342750721694,4.816691709768502,7.521335259710184,183,11,45.45,2.1758,44.4,2830.83,0.9029,2.2834,0.442,6.5127,4.7226,1.1709,-0.1452,5.3418,5.4852,3.0843,1.0221,44.44,66.67,66.67,45.45,{'trail_stop': 11},79.19,125.27,7612.2017,9,81.82
E3,120,3,31.404471177031578,16.37285466508237,1.2119087170383085,0.9017420453215039,1.9180815941649099,10.728640522584797,181,10,40.0,1.7179,39.8,2680.34,1.6245,2.3573,0.3645,5.2664,2.7119,0.7053,-0.3805,4.5612,4.0902,1.8407,1.1487,55.56,77.78,75.0,50.0,{'trail_stop': 10},141.07,141.07,9623.6589,9,90.0
E3,120,4,-7.555380233693187,9.938431168058258,-0.4539853276402368,-0.21364702122520715,-0.7602186004946025,7.465982277233607,180,6,33.33,0.7041,33.0,1556.64,1.4859,1.4597,0.1823,3.2334,2.1353,-0.3309,-1.0084,3.5643,3.3089,2.7803,1.637,60.0,80.0,66.67,45.33,"{'trail_stop': 5, 'ema_cross_down': 1}",209.14,209.14,4125.6336,5,83.33
