entry_bar_idx,entry_fill_bar_idx,entry_ts_ms,exit_ts_ms,entry_fill_price,exit_fill_price,qty,return_pct,pnl_usd
14040,14041,1716955200000,1717790400000,68898.256617,69185.772304,3.19806529,0.417305,587.603011
14099,14100,1717804800000,1718092800000,69424.972939,67502.626713,3.17749968,-2.768955,-6429.988880
14122,14123,1718136000000,1718222400000,67474.443872,67465.403963,3.16930467,-0.013398,-349.377854
14328,14329,1721102400000,1721865600000,64816.908328,65310.650334,3.28892461,0.761749,1301.677527
14388,14389,1721966400000,1722312000000,67109.058760,66543.406653,3.19119906,-0.842885,-2123.638358
14559,14560,1724428800000,1724774400000,61594.588423,61647.436297,3.43726870,0.085800,-136.195862
14697,14698,1726416000000,1726502400000,60395.760494,57823.832770,3.49799485,-4.258457,-9299.991126
14704,14705,1726516800000,1727697600000,58001.948476,63755.646505,3.47680691,9.919836,19671.997979
14788,14789,1727726400000,1727812800000,63551.503872,61694.249449,3.47752700,-2.922440,-6780.467522
14826,14827,1728273600000,1728504000000,63594.056393,60970.973268,3.36353370,-4.124730,-9130.445369
14863,14864,1728806400000,1729670400000,62906.339191,66785.494383,3.25028628,6.166557,12282.756919
14932,14933,1729800000000,1730404800000,68378.116867,70021.995453,3.16507305,2.404100,4870.558720
14986,14987,1730577600000,1731628800000,69579.527377,87238.286241,3.17565901,25.379245,55662.638030
15060,15061,1731643200000,1732564800000,88306.460275,94574.844177,3.12784791,7.098443,19162.827878
15129,15130,1732636800000,1733443200000,92905.826193,96848.708606,3.17450070,4.243956,12055.513546
15186,15187,1733457600000,1733846400000,97833.049724,95563.155125,3.13314710,-2.320172,-7561.033812
15214,15215,1733860800000,1734566400000,95952.380464,100103.831041,3.11109038,4.326574,12448.389835
15269,15270,1734652800000,1734868800000,97559.346225,97004.212985,3.18266963,-0.569021,-2229.904249
15372,15373,1736136000000,1736265600000,99136.632329,97854.332228,3.10488208,-1.293467,-4437.129845
15432,15433,1737000000000,1737331200000,99577.542910,101230.263763,3.04201168,1.659733,4565.680678
15456,15457,1737345600000,1737417600000,101993.857413,102157.765565,3.01019302,0.160704,32.123286
